category,AoA,visual_frequency,word_count_childes,log_word_freq,cdi_semantic,published_global,published_local,global_cls_L00,local_cls_L00,global_cls_L01,local_cls_L01,global_cls_L02,local_cls_L02,global_cls_L03,local_cls_L03,global_cls_L04,local_cls_L04,global_cls_L05,local_cls_L05,global_cls_L06,local_cls_L06,global_cls_L07,local_cls_L07,global_cls_L08,local_cls_L08,global_cls_L09,local_cls_L09,global_cls_L10,local_cls_L10,global_cls_L11,local_cls_L11,global_mean_L00,local_mean_L00,global_mean_L01,local_mean_L01,global_mean_L02,local_mean_L02,global_mean_L03,local_mean_L03,global_mean_L04,local_mean_L04,global_mean_L05,local_mean_L05,global_mean_L06,local_mean_L06,global_mean_L07,local_mean_L07,global_mean_L08,local_mean_L08,global_mean_L09,local_mean_L09,global_mean_L10,local_mean_L10,global_mean_L11,local_mean_L11,global_final,local_final
apple,19.0,0.007877399026067,2169.0,3.3364597338485296,food_drink,16.852457214819857,18.22773213526336,28.11246005924721,18.583788856061748,24.872197544491428,20.486343154629736,21.5476602917635,17.42491903759535,18.65869774997581,17.3519047732912,19.36962375094913,19.3034459345847,21.289158277998,19.84281085794696,21.997911094281758,22.688201831715546,23.934779187557595,24.59898680101864,26.60710817429021,26.288741488345025,24.96865335243971,25.96405871942513,22.53216852325425,23.935946811496308,21.61261555032513,23.51386634954292,19.61076031596767,16.83788887653776,19.747067374952145,17.87620262392578,19.255100074495413,19.324682118106136,20.50544888307092,20.539849755460757,21.69942384273014,22.134773129596727,22.36543375977785,24.7609068711654,22.807297440781,26.089064108398013,23.45514310132475,26.99624236980914,23.11771660767864,26.680684411943037,24.245617041312627,26.838686028947784,25.154597637049385,27.52352191309064,24.17164567147171,26.46721315670501,16.725979573301743,18.141351353374983
ball,11.0,0.0206244629046118,2.0,0.47712125471966244,toys,19.634238537882077,21.274070133005782,31.555334621477428,23.238395998149525,29.191825882238614,24.917444438653167,27.856494777186896,23.302529478938105,25.339149991928185,23.20338095368976,25.52459518366041,24.570686553890127,27.204540037341133,24.70052642805855,27.28485126768581,26.96980096604455,28.82454099623401,28.482033869002365,29.836412974223524,29.06993093418598,27.68345572711719,28.939695440760485,25.64427240547204,27.242471073059093,24.6058337079049,26.91592514553139,25.28089585432281,21.79330254680797,24.850136284536436,22.737946609296703,25.73647185546435,24.2880459455482,26.72414634998701,25.69159817834451,27.14411779350965,27.21088779225905,26.68105770877122,28.946563751836592,26.425635129995246,29.546972371233483,26.39032083895336,29.796374864568357,25.699653948107983,29.21432169706615,25.1159287328319,28.27439779156516,25.35731391915676,28.24314600317348,24.760423934187497,27.381113420885075,19.51918001217664,21.164593144650656
balloon,19.0,0.0156115726152964,762.0,2.8825245379548803,toys,18.80100653287593,20.77725223263887,36.08353829648897,23.182117624640306,30.969885116290893,23.80886128190722,27.793178039846577,22.09580698146675,23.730059669572245,22.3041012027296,24.393289978825283,24.86156130526758,25.694541460524547,24.771547325796533,25.680947758588637,26.639361390520737,26.66051802760341,27.853040565189296,27.016856454351327,28.4602267226584,25.95282440826675,28.29252086873547,24.089705610654477,26.48605903892633,23.281082913133737,26.19626494014038,27.094495183957942,21.78582999326239,25.43998822213095,22.41982522392288,24.629051371786296,23.554928914710704,25.5821328624027,25.36609881670678,26.38805160973841,26.566645600656635,26.07581296963664,28.2016923634228,25.88498047376252,28.84785564421301,25.444558203662734,28.718568669971805,24.87526651793032,28.40490192504612,24.820691708088678,28.05581285233973,25.122806471819523,28.261174146505116,24.14706372544229,27.237096671880053,18.62544822947629,20.68737648127009
basket,26.0,0.0136064164995703,779.0,2.8920946026904804,household,19.502671973813836,21.925568096323,24.493811341571703,24.3816095262259,25.220951001425878,25.46924388022907,25.154906263940944,22.578511388679768,25.210809453311057,23.91636019041867,25.04043295506136,25.217669760495173,25.203132145734827,24.985675436334432,25.31444291557909,26.39019743394958,25.23252561229729,26.856642727826145,24.598973224850752,26.631696419765564,23.905121379520654,26.77284255139623,23.60705191815978,26.485156775334925,23.51295691964677,26.515509622304997,24.005200931530396,24.418765220194043,27.66528804925715,26.315494306000485,27.052648131045927,26.415542864777937,26.236508036183665,26.30256222773551,26.50500464413207,27.42436233138746,25.99395977244268,28.22235341103518,25.432561887999597,28.27045705180974,25.722244438439574,28.54300915481771,25.26146821878914,27.89312759525824,25.457858229952183,27.299998790985896,24.814845687225688,26.71014793088245,24.750833183237383,26.34981922196403,19.557350740688047,21.83736836885925
bed,21.0,0.0285018619306788,3.0,0.6020599913279624,furniture_rooms,18.82551633710385,21.82057397568447,23.078350310953475,23.842042181537327,23.60604525098331,25.14378290912351,22.57130152247368,22.45153029606873,23.86074805104339,26.220301783112788,24.607956587013565,27.99232137498986,23.867765141453543,26.70166815035881,24.584170427868493,28.62759047640918,24.41598196690021,28.80581787706257,23.679348128601784,27.94581999336477,23.43194971122777,27.916766323886183,23.32496186177649,27.72761274327917,22.74984541132412,26.764169646854796,22.754522327093355,24.441304529102343,24.29950513111584,26.61127212114589,23.7963152227266,26.5269673302624,23.893091561266484,27.207176945124264,24.04964726388538,27.95404668559119,24.00775566278887,28.609454754247515,23.91643666622632,28.49811492498889,23.59577086441137,27.568587816211537,23.327231513801664,26.80229763842374,22.791750738413004,25.951091589232448,22.52489045947375,25.588214207759965,22.48147356980478,25.38821889695806,18.61333773806654,21.738606376558767
bench,31.0,0.006158693784016,260.0,2.416640507338281,furniture_rooms,19.050903855858785,21.789613669750544,23.4655445139459,24.830332789450736,24.10707744052729,25.98916310242583,24.289991992797297,23.73753925783701,25.30305839013202,25.526994105787885,25.44357690970879,26.895314694081293,24.519135013966743,25.808434109418616,24.93447150285843,27.686467603540702,24.89302867281434,27.90670611421193,24.554323002514344,27.4442393648802,24.05370603771244,27.79891566363559,24.042121480073632,27.844746695526705,23.083896150405707,27.130378860409365,23.057088336364053,25.253945042462284,24.73780337048339,26.66436674228294,24.298678583543985,26.31632878102769,24.43981486678498,26.567731138822023,23.647085782700927,26.789962966728663,23.33441947621528,27.59476332756337,23.207505759929678,27.77582754030556,22.720286399646994,27.151966330004207,23.27718591324682,27.55821951139877,21.916717110192412,25.825355574853493,21.081934055916395,24.993798253852425,21.20707681778241,25.03994697453259,18.883612662388213,21.88225575259636
bird,18.0,0.0085935262102549,375.0,2.575187844927661,animals,19.08982353839708,21.43294175484296,25.638072764620777,22.328215128381967,25.951416669103097,24.5774537377429,24.709886705096174,22.07995552412585,23.13600912964144,22.23210745781483,24.44898243296816,24.5288135604334,25.31935238178959,23.97282559773259,25.839633583303296,26.42733245253272,27.21192941010421,28.296730342053834,27.346260181676392,29.16574314012409,26.33097056853493,29.57735040303525,25.79958420387388,28.75742906510508,23.615046124400525,26.710370835902257,26.04411640943029,23.43097839910226,25.800174072219143,24.19599895334776,25.80390302245676,25.417608273981102,25.885793119962727,26.027740950238584,25.83663532888798,26.61560981933587,25.14060098728771,27.50937383290672,23.86840465287953,27.20443163462072,22.586426266789523,26.060935722115666,21.76821462855425,25.461569477749528,21.681585405523148,24.885916704268663,21.332108897412063,24.334789098964315,21.01710480604351,23.81633930597331,18.92075712640893,21.218555109265463
blanket,22.0,0.0210541392151246,930.0,2.9689496809813427,household,18.508686960143763,21.52733643959071,26.22324752902984,25.230874563130868,26.278363737814328,26.06244793125291,25.27794766468063,23.97375210310025,26.0173850565964,27.2670836584611,25.811847311588824,28.640823201798423,25.110990514734425,27.69718646325928,25.30891911085026,29.152880890510552,24.763163177821585,28.77522435825353,23.686185265741575,27.50441359613918,23.084355475326152,27.11958574566269,22.64406174528185,26.60809854695621,22.18814511793761,25.979293079225293,26.133174702200517,27.017748203474092,28.27264317754352,29.3300925710841,27.836318245902703,29.975328455553548,26.7061518701408,29.814798606749253,26.890420772529517,30.740322854477867,27.18122073976013,31.715987136581425,27.61376421865776,32.1845147338498,27.019472453328515,31.395960789434668,25.8330252141946,29.8551786092628,24.182411539139768,27.88074080986721,23.859516817638102,27.50828545695742,23.746569272922745,27.205938285987067,18.33989130684957,21.223118675590975
book,16.0,0.0229160698940131,10163.0,4.007064656378332,toys,21.585951937032007,25.37780122509388,23.25479601056932,24.410624082757764,24.77592935242637,26.799729724245363,23.327942171242366,22.775760654078155,24.811421099372076,25.598376496834643,25.17728008459918,27.113170029271632,24.113841711840983,25.925481162279905,24.385659261767,27.235937182987406,23.38976218645292,26.535397536764485,23.428544714938603,26.587606555476302,24.473710557318817,28.63076089911726,24.575216641732037,28.246239391515484,24.725583591840365,29.303721113482744,22.197897250681063,24.49057104750884,22.820378036321515,25.578472296568616,22.623434865597257,25.20900636180817,23.76163363852144,26.210720460259875,23.426447653742063,26.63017466384453,23.62988663328439,27.496820879458628,22.8635605004254,26.983314848346957,21.50272684225245,25.55883960185305,21.0337428754233,25.11857725603357,19.962653737238885,23.656923040474208,20.03515503430745,23.75459693754388,19.785314861577582,23.12298909672724,21.28176007284372,25.13144628352101
bottle,20.0,0.0292179891148668,1403.0,3.1473671077937864,household,18.348410534089663,20.6040223178446,26.08758176568824,21.94973537966891,25.597691871499208,23.836368602570214,24.169359591158116,21.207112345867294,22.98490902214592,21.572392056806905,23.198261696153736,23.026438860129865,23.878079112565302,22.694148497814485,24.15550997055664,25.001126985725342,25.44851867525731,26.55625663433158,26.766834848717505,27.72871476327694,24.82448467267157,27.17206810271497,23.097535448042745,25.627548448888074,22.82484042409723,25.74724236691931,22.586633484065988,21.64487743411002,22.50654395510919,22.29758468739202,23.01460487255421,23.520904809032828,23.4992273324134,24.294601258258503,23.65638795255756,25.223699198973,23.35384705913696,26.610035129986983,22.886314611586148,26.766893024855573,22.494728265440894,26.620788968621035,21.31330132254988,25.344299646043936,22.508552877036077,26.06799448346065,22.900797909336035,26.25865098774128,21.992370069012917,25.0041418729592,18.470783176034445,20.769110249746177
