category,stem,row
apple,apple_063fbd4ac7ebb7d8,0
apple,apple_8e885d9ae2e01ab3,1
apple,apple_8d6c258516852897,2
apple,apple_e38769765d01c99c,3
apple,apple_d48036b29786be9a,4
apple,apple_e51d448ebffa3e28,5
apple,apple_b43e8d78a23ef8ec,6
apple,apple_dc11e33ead196ae3,7
apple,apple_e11ebf14adc11600,8
apple,apple_4ee95bf6b335ed68,9
apple,apple_52aaf8bad3e0cc51,10
apple,apple_fb759befd40c2ac0,11
apple,apple_03794021fd8e0b2f,12
apple,apple_8916d1ea5dea94d0,13
apple,apple_417db67fb2f37f9b,14
apple,apple_17cba817fc3818d0,15
apple,apple_4572fe4d05cf8f75,16
apple,apple_1ad8b6f769167cff,17
apple,apple_b522adfad3e088f6,18
apple,apple_97e245bead4b4b0d,19
apple,apple_53472be6e7611162,20
apple,apple_ba17b582bde93e53,21
apple,apple_2ecf2144a9bd804a,22
apple,apple_c45c7a9ccfe2883a,23
apple,apple_f40bb378c87bb920,24
apple,apple_79db8732ba40d318,25
apple,apple_ac5b29b1c837c88f,26
apple,apple_4e689994e6ab501b,27
apple,apple_9cac5acf3f772ab5,28
apple,apple_249230fe4c30b52b,29
apple,apple_d126c49be907f015,30
apple,apple_f942cc264921e06c,31
apple,apple_81e70d500cb65f3c,32
apple,apple_6e99dd0d09b82b2e,33
apple,apple_12cb38184d05c993,34
apple,apple_37c16ccf1586fcc6,35
apple,apple_fdc4b1bf7ed8faf5,36
apple,apple_c9493e84d9c90c79,37
apple,apple_095fca964649f830,38
apple,apple_55881552b6e1ea91,39
apple,apple_da517f50f81fc425,40
apple,apple_2218b2ca3061217a,41
apple,apple_c72119bcdf32603d,42
apple,apple_5ea48cdefdb17158,43
apple,apple_a0e6a4c249c449bf,44
apple,apple_d9737e7a7359a6ff,45
apple,apple_358eb27a69b9f3a5,46
apple,apple_4e504b2f9a949c45,47
apple,apple_f0445d89915de500,48
apple,apple_7cb2077e1b2b4707,49
apple,apple_f0a9531fbe46a4d0,50
apple,apple_cc4dcf26ba28015e,51
apple,apple_217b88d8e7dd1301,52
apple,apple_5b30a87106a36282,53
apple,apple_a6cc7dfeef20cac2,54
apple,apple_8385f25d01a09381,55
apple,apple_aaee360613c8a0fc,56
apple,apple_192f88a74a11fb3c,57
apple,apple_90bdbaf5c1accc39,58
apple,apple_f81a0e9398e8e46c,59
apple,apple_df50ba9c12d2f786,60
apple,apple_ea45a8f2713e73cb,61
apple,apple_bb6d1bdfe1e4868d,62
apple,apple_e5e3439f5998a0bf,63
ball,ball_8b3642762b5b9c2f,64
ball,ball_aa0b83149080fe27,65
ball,ball_d2fbc3d52480d124,66
ball,ball_98dadd128581f03c,67
ball,ball_efff473a179e3b2e,68
ball,ball_4c2338fedbe5254e,69
ball,ball_df71a42998b20d3a,70
ball,ball_9f2d1bfdc13eb6c2,71
ball,ball_657ec7e6e82ac396,72
ball,ball_c01fd2587fd3bbfd,73
ball,ball_b905fc6014d3ede4,74
ball,ball_e77dec0b7e49ddd2,75
ball,ball_57634ade6f4446fb,76
ball,ball_30a5ff4dae98a01b,77
ball,ball_5975308745d877fd,78
ball,ball_c2f93a400cee05a7,79
ball,ball_7828e2a5de3fe077,80
ball,ball_7f474a1f6734e626,81
ball,ball_13a144281a02f9a7,82
ball,ball_5d4a67aa4e41f26a,83
ball,ball_49f8afd0e88bd5a7,84
ball,ball_376be08a1eccc91d,85
