readout,kind,block,dim,n_categories,mean_global_dispersion,sd_global_dispersion,mean_knn_dist,rho_global_vs_released_clip,p_global_vs_released_clip,rho_global_vs_released_dinov3,p_global_vs_released_dinov3,rho_global_vs_frequency,p_global_vs_frequency,rho_local_vs_released_clip,p_local_vs_released_clip,rho_local_vs_released_dinov3,p_local_vs_released_dinov3,rho_local_vs_frequency,p_local_vs_frequency,rho_global_vs_local_within,p_global_vs_local_within
cls_L00,cls,0,768,72,24.093419191076933,3.049870944664013,22.567646871445763,0.29021158916972156,0.013402126572900448,0.2859990996205544,0.014874700979109264,-0.09154425724050685,0.4443954504246018,0.6495273007910478,6.726779003182649e-10,0.22152550003215646,0.06146764548239018,-0.16030295106808584,0.17858422608173646,0.6173387356100072,7.665645798775305e-09
cls_L01,cls,1,768,72,24.05898000023044,2.3455069845092273,23.70268932134464,0.3451990481703004,0.0029807784016398944,0.36503955238278996,0.0016170393997328376,0.008876239240604213,0.9410098611968245,0.6756704611229019,7.452825410662025e-11,0.3765193903144897,0.0011148620329899223,-0.08847294982210938,0.45988865271161483,0.6845134735352757,3.36353322732637e-11
cls_L02,cls,2,768,72,23.127560564907093,2.3502130069014386,20.97886673412508,0.4147212039359445,0.00029233634911994425,0.32265740562094036,0.005705005737269622,0.029169380403000076,0.8078269636403952,0.5865650524149464,6.15120989000819e-08,0.4493214997749052,7.51970027863847e-05,0.04552288639520023,0.7041598898775343,0.8514695478808927,2.6426163422854196e-21
cls_L03,cls,3,768,72,23.405397333935227,2.0530206555860264,23.164087074450713,0.5367547752267028,1.1715960765760888e-06,0.17547752267026823,0.14037830333775064,0.052775031137070695,0.6597338282188333,0.5627371535146957,2.6751601325128513e-07,0.17480223808605058,0.1419357069995526,0.06192463281805583,0.6053319455955332,0.8159045597787642,2.558485241094654e-18
cls_L04,cls,4,768,72,23.993137922114443,1.613759775702274,25.06103941859463,0.5297768345231205,1.7063265692697101e-06,0.2460929963341694,0.03717967196919975,0.03251405026177847,0.7862879335653286,0.48562608527879614,1.532388000796308e-05,0.11045726413274166,0.3556487048607273,0.028510094517375482,0.8120900575774005,0.7299183227217185,3.488582911667924e-13
cls_L05,cls,5,768,72,23.887314725304922,1.4851707295441599,24.479902141113605,0.5463695414496109,6.881767013723138e-07,0.413113383497331,0.00031029373902966955,0.03849586366305522,0.7481721610999433,0.5145025403562931,3.775978159088579e-06,0.11955752781529361,0.31715662511507997,-0.026693038296019912,0.8238674423675183,0.4103800887516883,0.0003431547786848791
cls_L06,cls,6,768,72,24.441870377075972,1.1752991692734067,26.44524549286872,0.44456235127660954,9.143560217838105e-05,0.3723390571740949,0.0012785261184733077,0.06023621774511481,0.6152225383905247,0.4029519583252943,0.0004491940427851428,0.15097433918579978,0.20554540535889596,-0.008120472493668708,0.9460247197979819,0.4396102643256802,0.00011172509594956027
cls_L07,cls,7,768,72,24.59718175215149,1.2232027791915494,26.866508861302112,0.273490256608142,0.020096849317341993,0.48659077754196417,1.465290912521293e-05,-0.04301438400111642,0.7197690783921848,0.4252363496044762,0.00019648579917153785,0.31937745192616895,0.00624574369701911,-0.09098145221619319,0.44721251030559384,0.3781915235706477,0.0010548856314676663
cls_L08,cls,8,768,72,24.45202801309791,1.6001514000647403,26.799132195795668,0.04099942118464211,0.732390895238107,0.3874847257058332,0.0007716266012887231,-0.09554821298490984,0.42464238609851035,0.28506656376615863,0.01521891975684336,0.38603768731108123,0.0008106131362358277,-0.11347757304518827,0.34256591620708443,0.4606405556627437,4.66794858266524e-05
cls_L09,cls,9,768,72,24.035991381842177,1.2133962176619884,27.04599743745268,0.22438742041288834,0.05810456293398824,0.3000514502540357,0.010444355016963182,-0.06893557540664902,0.5650305085024934,0.4904173901858641,1.225212467178046e-05,0.30950543443308254,0.0081551181985474,-0.07097775363773005,0.5535334449538454,0.5251784680686862,2.1761424647714006e-06
