readout,kind,block,dim,category,n_exemplars,k,effective_k,mean_knn_dist,mean_pairwise_dist,local_coherence,global_dispersion,local_over_global,global_dispersion_per_sqrt_dim,mean_knn_dist_per_sqrt_dim
cls_L00,cls,0,768,swing,65,5,5,12.074392278958673,23.014498079926003,0.08281990322135224,16.085899217870285,0.005148602642576876,0.5804498902246625,0.43569710203487055
cls_L00,cls,0,768,tree,99,5,5,12.309984903791483,24.135152886481855,0.08123486810223458,16.71473951807478,0.0048600738297111855,0.6031412100121843,0.44419831862026515
cls_L00,cls,0,768,vacuum,62,5,5,12.600901569699426,24.669436512574805,0.07935940094989992,17.424388244007716,0.004554501417126756,0.6287484526964003,0.45469586958112135
cls_L00,cls,0,768,stroller,88,5,5,11.742999776959932,26.49814656943132,0.0851571164943753,18.788294537115572,0.004532455903655896,0.6779641817886032,0.42373900514509577
cls_L00,cls,0,768,watch,97,5,5,11.970708114209364,26.707204238041633,0.08353724695809672,18.805301845394805,0.004442217819468503,0.6785778801644285,0.43195572200807586
cls_L00,cls,0,768,oven,83,5,5,12.420971776431037,26.310831045050463,0.08050899865158004,18.54925862282863,0.00434028120954103,0.6693387161973812,0.4482032124199502
cls_L00,cls,0,768,refrigerator,65,5,5,13.334758969148654,24.632031186564774,0.07499198165588171,17.406034956148954,0.0043083896961490144,0.6280861854660397,0.481176667526047
cls_L00,cls,0,768,pants,90,5,5,12.20975917366229,26.858895009645078,0.08190169730432548,19.094686724640976,0.004289240168503755,0.6890201575351901,0.4405817341034016
cls_L00,cls,0,768,sweater,97,5,5,12.887300929736366,26.43068742829739,0.07759576698427084,18.563109888738985,0.004180105997828687,0.6698385307037537,0.46503041630693787
cls_L00,cls,0,768,grass,100,5,5,12.84295622564354,26.494632447305456,0.07786369294036051,18.698104640242164,0.004164255919970725,0.6747097342112253,0.4634302646291174
cls_L00,cls,0,768,couch,98,5,5,12.951814809399144,27.646307983524466,0.07720925713625083,19.616830399001486,0.003935868107427837,0.7078613944694214,0.4673583604187986
cls_L00,cls,0,768,table,94,5,5,13.526016504941559,26.94101691783899,0.0739315969069432,18.95370410889777,0.0039006410821954426,0.6839328855882902,0.4880780793869582
cls_L00,cls,0,768,jacket,76,5,5,13.976869198347282,26.867441732804892,0.07154678102863313,18.746237133209625,0.0038165942594359623,0.676446565946946,0.5043468246308745
cls_L00,cls,0,768,jeans,84,5,5,13.227562438954086,28.490131948587365,0.07559971873994577,20.02084537337611,0.0037760502781005903,0.7224400291076607,0.4773085459282953
cls_L00,cls,0,768,shirt,91,5,5,14.483002403825065,27.05556567313208,0.06904645681311858,18.85849583276498,0.0036612918350124417,0.6804973528473935,0.52261033353265
cls_L00,cls,0,768,cat,68,5,5,13.45138264990915,30.379392466331787,0.07434180009790696,21.676371985581426,0.003429623746416478,0.7821787000581187,0.4853849621186068
cls_L00,cls,0,768,bed,74,5,5,14.979699699380745,28.58046060731616,0.06675701249480585,20.01791442185619,0.003334863517146344,0.7223342675045977,0.5405333533635769
cls_L00,cls,0,768,book,94,5,5,15.06982769282278,29.127052668569355,0.066357759384088,20.368312556436532,0.0032578918454940183,0.7349781710873167,0.5437855671932819
cls_L00,cls,0,768,chair,95,5,5,14.32872466513655,30.515909174557663,0.06978988174942855,21.484898980996636,0.0032483225455775984,0.7752695131368953,0.5170433151600387
cls_L00,cls,0,768,plate,93,5,5,13.548889083818274,31.977966045996393,0.07380678916283412,22.836617755032034,0.0032319492297221133,0.8240454630155208,0.48890342248517893
cls_L00,cls,0,768,shorts,95,5,5,14.450555694956652,30.256065092984812,0.06920149100902792,21.41858764018757,0.003230908226609002,0.7728767087327428,0.5214395137764314
cls_L00,cls,0,768,box,86,5,5,14.728049070177134,30.103330606188198,0.06789765536732918,21.226132181731256,0.003198776620536021,0.7659320705610699,0.5314526934565491
cls_L00,cls,0,768,cracker,73,5,5,14.480862922909282,30.435474565466023,0.06905665810964633,21.59934402708652,0.0031971646001399978,0.7793991930223586,0.522533131664984
cls_L00,cls,0,768,basket,91,5,5,14.323911216407646,31.249208974360286,0.06981333414399606,22.035494430422457,0.0031682218143292925,0.7951374150706816,0.5168696247900785
cls_L00,cls,0,768,shower,77,5,5,15.00206897050893,29.747141074114065,0.06665747251034508,21.124698167320496,0.003155428398662894,0.7622718858407552,0.5413405349077914
cls_L00,cls,0,768,apple,64,5,5,15.516126783188511,29.45501756107604,0.06444907379098531,20.725948999439467,0.0031095837296872793,0.747883264627302,0.5598899984408906
cls_L00,cls,0,768,slide,57,5,5,16.0976469968877,28.44544400706435,0.06212088016300387,19.98973132922547,0.003107639574534033,0.7213172977472889,0.5808738016857928
cls_L00,cls,0,768,toy,100,5,5,15.042032229867385,30.775904291482277,0.06648037876254546,21.789476960609264,0.0030510314168039846,0.7862600242943067,0.5427825848170601
cls_L00,cls,0,768,fork,63,5,5,15.784850649233665,29.422053237918785,0.0633518822712807,20.77888954794495,0.0030488579346409908,0.7497935921229699,0.5695867357158185
cls_L00,cls,0,768,doll,89,5,5,14.449622440697741,31.893363185757824,0.06920596050893854,22.722163260276666,0.0030457469967186514,0.8199154421807099,0.5214058378640811
cls_L00,cls,0,768,purse,76,5,5,14.790066028601972,31.282268822924202,0.06761295034559929,22.28478604194781,0.0030340408123429104,0.8041329512594865,0.5336905376841055
cls_L00,cls,0,768,plant,99,5,5,13.707686063628694,33.74119711143849,0.07295177284905519,24.099992526351244,0.0030270454552750905,0.8696335732848037,0.49463351492518176
cls_L00,cls,0,768,tray,80,5,5,15.64047291763841,30.010883174325436,0.06393668562746965,21.134275675848293,0.0030252603215796437,0.7626174844111733,0.5643769530782242
cls_L00,cls,0,768,pillow,85,5,5,15.200490273117524,31.391183252182813,0.0657873517256563,22.12550428875468,0.0029733718548097827,0.7983853660667959,0.5485004469374182
cls_L00,cls,0,768,shoe,94,5,5,14.734911268696292,32.51712862060494,0.0678660347364601,23.11767630891662,0.002935677177480151,0.8341872899994779,0.531700311716691
cls_L00,cls,0,768,pajamas,86,5,5,15.545012824427749,31.679959398261058,0.0643293132848742,22.27477678114221,0.002887989133041966,0.8037717731707051,0.5609323336712216
cls_L00,cls,0,768,sink,64,5,5,16.096472050504403,31.054031597623172,0.06212541461646956,21.787143064064487,0.0028514713670255666,0.7861758070569075,0.5808314044601253
cls_L00,cls,0,768,scarf,73,5,5,15.780884462320426,31.49124852575825,0.06336780440840764,22.242652728908325,0.002848931967815592,0.8026125962829117,0.5694436182731926
cls_L00,cls,0,768,glass,80,5,5,16.32640585229485,30.63305435502266,0.06125046804832671,21.521179846672265,0.002846055303877665,0.7765786861096614,0.5891284258575946
cls_L00,cls,0,768,crib,60,5,5,15.864743048404355,31.214566938512142,0.06303285196293035,22.163703138321086,0.002843967525171659,0.7997637483217895,0.5724696043512811
cls_L00,cls,0,768,bench,64,5,5,15.75910919646885,31.869918004265053,0.06345536334148065,22.50212249585215,0.002819972353860285,0.8119754050198857,0.5686578710481249
cls_L00,cls,0,768,jar,79,5,5,15.963826679283208,31.995153391328763,0.06264162221816988,22.526515851267277,0.0027807949809799744,0.8128556244145959,0.5760449769112932
cls_L00,cls,0,768,door,95,5,5,15.277965187371805,33.463525929346325,0.06545374254593554,23.639464038702567,0.0027688336097119026,0.8530156828902129,0.5512960820999278
cls_L00,cls,0,768,blanket,92,5,5,15.759886795759884,32.58734621246356,0.06345223242777637,22.925784597736996,0.002767723484326889,0.8272629943054269,0.5686859302456249
cls_L00,cls,0,768,dog,71,5,5,14.688800675437221,34.72713708037174,0.06807907752960467,24.987653511402304,0.0027245086257714833,0.9016642800765762,0.5300364390022773
