readout,kind,block,dim,n_categories,mean_global_dispersion,sd_global_dispersion,mean_knn_dist,rho_global_vs_released_clip,p_global_vs_released_clip,rho_global_vs_released_dinov3,p_global_vs_released_dinov3,rho_global_vs_frequency,p_global_vs_frequency,rho_local_vs_released_clip,p_local_vs_released_clip,rho_local_vs_released_dinov3,p_local_vs_released_dinov3,rho_local_vs_frequency,p_local_vs_frequency,rho_global_vs_local_within,p_global_vs_local_within
cls_L00,cls,0,768,72,22.695852953560458,3.239428182170163,15.444468889309016,-0.03324972667052544,0.7815711019941067,0.42488262910798125,0.000199171772019774,0.08077056106078798,0.5000129570499795,0.04296096211975047,0.7201027700190954,0.38092481831629044,0.0009631094305722951,-0.05782419621234194,0.6294710909099812,0.8051964756575987,1.52394457381158e-17
cls_L01,cls,1,768,72,23.463962904176114,2.4034891766287876,20.546921485374643,0.05267219756897551,0.6603560848917776,0.44083220785902644,0.00010636497628195109,0.07187824167663193,0.5484997494101471,0.23525628657791503,0.04666870101747202,0.5441829056530968,7.778304940671066e-07,-0.013153557425388126,0.912676658612732,0.7967714965592644,5.751920441453981e-17
cls_L02,cls,2,768,72,23.889353000569475,2.3928124537682693,21.930751021428602,0.013280596822946814,0.9118366247916616,0.4236285291658628,0.00020896898970778396,0.09720446777074723,0.4166206128914237,0.12431667631358931,0.29813411240875726,0.5187793427230047,3.0347469369584364e-06,-0.018636886376558484,0.8765177951812952,0.8026882757733618,2.2782233067573042e-17
cls_L03,cls,3,768,72,23.49231011542245,2.0850412490968897,22.831151367430007,0.11122901794327611,0.3522768036769879,0.4586147019100908,5.090082381464257e-05,0.08094744263985798,0.4990715859578614,0.18403112740369157,0.12174854876473096,0.507781850922889,5.29169842325253e-06,0.04063452275544718,0.7346843430717744,0.7115248569039812,2.4669214293677226e-12
cls_L04,cls,4,768,72,23.68687142218282,1.643534000001514,24.274284358486046,0.13920509357514954,0.2435294772062054,0.385780436040903,0.000817728367335624,0.07974143187347153,0.5055082563877211,0.26278217248697666,0.025740292178894345,0.42530066242202086,0.00019600103223896162,0.05579809812481271,0.6415453388923996,0.6698823075438936,1.2363142709060527e-10
cls_L05,cls,5,768,72,23.919457669356316,1.6957220442064966,25.142266478842973,0.06450575599717025,0.5903483795730552,0.41237378609556896,0.0003188886524200552,0.11473182424223018,0.33722263424398524,0.22634896134799673,0.055887113766957486,0.4503183484468455,7.215307169299369e-05,0.0851443601068828,0.47700839600638456,0.7298861663129462,3.5010180922431336e-13
cls_L06,cls,6,768,72,24.373277241972083,1.6594048447048053,26.562493904928278,-0.00421248954916715,0.9719850672544512,0.48774840825776583,1.3883928539655642e-05,0.056521704584644575,0.6372222379677253,0.07958711171136408,0.5063349624908656,0.5216412631037367,2.6175163410348412e-06,0.02265692226451329,0.8501634236283077,0.7711106823589942,2.3024712031244157e-15
cls_L07,cls,7,768,72,24.13906463707746,2.1330431381573236,26.063115989591783,-0.11065020258537529,0.3548038680540755,0.40578172229725384,0.0004056980523480321,-0.08266801799990264,0.4899628948959923,-0.09180654704482603,0.44308597951253315,0.475303878062898,2.453580702027669e-05,-0.09003272374663585,0.4519836825955018,0.8814714772654191,1.6677648094238484e-24
cls_L08,cls,8,768,72,23.68853224397688,2.213835412839473,25.480792420001293,-0.09035950865007397,0.4503371050696079,0.4482281818766481,7.867181126904225e-05,-0.018572565802351202,0.8769406351768649,-0.14438227538748474,0.22626549146544045,0.438034600295839,0.00011900478046920851,-0.06763308377895166,0.5724214597624633,0.9102514631165993,1.627669649178756e-28
cls_L09,cls,9,768,72,23.697199586559652,1.9581353304537588,26.250267007430427,-0.15769502861920384,0.185847700523804,0.37291787253199565,0.001254640949506542,-0.0526142297015525,0.660706955853791,-0.13608592192423952,0.2543571579776155,0.4175831243166763,0.0002627099979384905,-0.07118679550390371,0.5523629376775308,0.9198662293395076,3.6396068318722344e-30
